YEAR,battery-technology,bioenergy-power,coal-unspecified,gas-CCGT,gas-OCGT,geo-power,hydropower,oil-internal-combustion-engine,solar-pv,transmission,windoffshore-power,windonshore-power
2023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025,0.0,0.14763068152794984,0.0,0.0,0.0,0.0,0.0,0.0,2.8679045914716426,0.0,0.0,2.9453679370027595
2026,0.0,9.84859713845481,0.0,0.0,0.0,0.0,0.0,0.0,6.637462553330803,0.0,0.0,6.41063829627079
2027,0.0,9.84859713845481,0.0,0.0,0.0,0.0,0.0,0.0,11.586139826309182,0.0,0.0,10.485923628297016
2028,0.0,9.84859713845481,0.0,0.0,0.0,0.0,0.0,0.0,18.074367602555675,0.0,0.0,14.03219930827833
2029,0.0,9.84859713845481,0.0,0.0,0.0,0.0,0.0,0.0,25.060368225739186,0.0,0.0,14.03219930827833
2030,0.8306075302760255,9.84859713845481,0.3142817104170527,0.11610927266805805,0.10492622812454548,0.0,0.0,0.0,33.55968389311491,0.0,0.0,14.03219930827833
2031,1.3369088193906173,9.84859713845481,0.6580228308482887,0.2426448072249059,0.2193717855144618,0.0,0.0,0.0,36.71577875767272,0.0,0.0,14.03219930827833
2032,1.3369088193906173,9.84859713845481,1.0339724261923742,0.38053076332162084,0.34419127574157765,0.0,0.0,0.0,37.75190141884173,0.0,0.0,14.236629234445678
2033,1.3369088193906173,9.84859713845481,1.4451347802275665,0.5307718699206079,0.48031502979943375,0.0,2.831353583331008,0.0,37.75190141884173,0.0,0.0,14.236629234445678
2034,1.3369088193906173,9.84859713845481,1.8947929487386463,0.6944602975613541,0.6287557055519071,0.0,3.7150024444241163,0.0,37.75190141884173,0.0,0.0,14.236629234445678
2035,1.3369088193906173,9.84859713845481,2.3865344710804393,0.8727830993862218,0.7906154497973423,0.0,15.446597197315683,0.0,37.75190141884173,0.0,0.0,14.236629234445678
2036,1.3369088193906173,9.84859713845481,2.922262082716233,1.0673231824336529,0.9670897111460233,0.0,18.471025148851894,0.0,37.75190141884173,0.0,0.0,14.236629234445678
2037,1.3369088193906173,9.84859713845481,3.505855586281409,1.2795407749299115,1.1594827955761446,0.0,26.849080283805275,0.0,37.75190141884173,0.0,0.0,14.236629234445678
2038,1.3369088193906173,9.84859713845481,4.141530884045487,1.5110259779342885,1.3692137250905074,0.0,33.53287403284316,0.0,37.75190141884173,0.0,0.0,14.236629234445678
2039,1.3369088193906173,9.84859713845481,4.833868399812595,1.7635101376234454,1.597826137861659,0.0,35.796638405796216,0.0,37.75190141884173,0.0,0.0,14.236629234445678
2040,1.3369088193906173,9.84859713845481,5.587843824205698,2.0388781933042943,1.8469990212458134,0.0,35.796638405796216,0.0,37.75190141884173,0.0,0.0,14.236629234445678
2041,1.3369088193906173,9.84859713845481,6.408867927364395,2.339182082578282,2.1185647201691706,0.0,35.796638405796216,0.0,37.75190141884173,0.0,0.0,14.236629234445678
2042,1.3369088193906173,9.84859713845481,7.302810690797873,2.6666552916072277,2.4145100689057304,0.0,35.796638405796216,0.0,37.75190141884173,0.0,0.0,14.236629234445678
2043,1.3369088193906173,10.977584271163305,8.276045605529502,3.023728645449383,2.7369953404288987,0.0,35.796638405796216,0.0,37.75190141884173,0.0,0.0,14.236629234445678
2044,1.3369088193906173,11.449097303732088,9.335491674184576,3.4130474409771003,3.0883690658086325,0.0,35.796638405796216,0.0,37.75190141884173,0.0,0.0,14.236629234445678
2045,0.5260362784450343,15.372449878597624,10.48865877840047,3.8374900329890713,3.4711840831010123,0.0,35.796638405796216,0.0,37.75190141884173,0.008685711856143771,0.0,14.236629234445678
2046,0.21823083478263267,15.372449878597624,11.74368609390434,4.300198259717495,3.888214913434771,0.0,35.796638405796216,0.0,37.75190141884173,0.1616175412339343,0.0,14.236629234445678
2047,0.21823083478263267,17.74459528534861,12.453822348781335,4.8045808221855415,4.342476569245259,0.0,35.796638405796216,0.0,37.75190141884173,0.3145493706117274,0.0,14.236629234445678
2048,0.21823083478263267,17.74459528534861,12.453822348781335,5.354345505273852,4.837244907324487,0.0,35.796638405796216,0.0,37.75190141884173,0.46748119997226456,0.0,14.236629234445678
2049,0.21823083478263267,17.74459528534861,12.453822348781335,5.953524907481798,5.376078647568097,0.0,35.796638405796216,0.0,37.75190141884173,0.6204130293500559,0.0,14.236629234445678
2050,0.21823083478263267,17.59696460382066,12.453822348781335,6.606504325802424,5.376078647568097,0.0,35.796638405796216,0.0,34.88399682737009,0.7733448587278473,0.0,14.236629234445678
