YEAR,Cost of electricity generation
2023,198.6498354433588
2024,198.47157292956095
2025,197.6705084717368
2026,193.6533597724016
2027,191.8549105887293
2028,187.32044368790713
2029,182.08746106097848
2030,171.33954920826991
2031,165.96006127373516
2032,163.60738089666305
2033,161.06553728975683
2034,160.0592045466772
2035,160.14659995992318
2036,159.8681428025314
2037,159.64223898832856
2038,159.08013100624987
2039,156.54847524325314
2040,155.29165823683667
2041,152.34782947982188
2042,150.83840271761605
2043,148.37285312607233
2044,147.07130337673476
2045,146.07796115996516
2046,145.15344195696733
2047,143.76945284263346
2048,142.73025412244064
2049,143.45872767403787
2050,146.56733427227374
