YEAR,coal-unspecified,gas-CCGT,gas-OCGT,oil-internal-combustion-engine
2023,0.0,0.0,0.0,0.7586899428028605
2024,0.0,0.0,0.0,0.7475788316915272
2025,0.0,0.0,0.0,0.6485063040000001
2026,0.0,0.0,0.0,0.5873264640000002
2027,0.0,0.0,0.0,0.5389227741799685
2028,0.0,0.0,0.0,0.47720275200000006
2029,0.0,0.0,0.0,0.42825887999999995
2030,0.006244127999999999,0.0007568639999999999,0.0017029439999999999,0.36707904
2031,0.013112668800000003,0.003973536000000001,0.0033377702400000002,0.34260710400000005
2032,0.020668063680000005,0.007502030568127115,0.0067349740061449824,0.33037113599999995
2033,0.02897899804800002,0.010538538006512135,0.020885971297436655,0.30589920000000004
2034,0.038121025852800014,0.013964497383538107,0.026110143730187434,0.293663232
2035,0.04817725643808002,0.012388795485402206,0.009635451287616,0.26919129599999997
2036,0.05923911008188801,0.01326417978545763,0.0113092846519968,0.256955328
2037,0.0714071490900768,0.014425686684864,0.012333962115558723,0.232483392
2038,0.08479199199908447,0.0171296953533504,0.022473792876295313,0.220247424
2039,0.09951531919899292,0.020104104888685442,0.04164354075248762,0.19577548800000003
2040,0.11571097911889223,0.023375955377553985,0.04846243313817918,0.18353952
2041,0.1335262050307815,0.02697499091530938,0.0606937295594461,0.16365384449337084
2042,0.15312295353385963,0.031029585013952886,0.06960134251539071,0.146831616
2043,0.1746793768872455,0.03545702416995407,0.07367287538272116,0.133403340281546
2044,0.1983914425759701,0.04011580035560509,0.07252599913677465,0.12242589725727991
2045,0.22447471483356712,0.04580562972605036,0.07126443526599353,0.11035070993023167
2046,0.2531663143169237,0.05419035661106398,0.06941006975319429,0.09629951712956752
2047,0.28472707374861617,0.06091236305758913,0.06711341334309952,0.08007471830699249
2048,0.31944390912347764,0.06268094056849825,0.07260088843715404,0.06145895286080439
2049,0.31944390912347764,0.07074582205148287,0.08128009728086945,0.04985668951054793
2050,0.31944390912347764,0.09918648485579093,0.08917416471290435,0.07415449967622831
