YEAR,MDG
2023,1.1565372964265148
2024,0.8276487740266435
2025,0.8206607681326986
2026,0.7962726127442489
2027,0.7257580791913213
2028,0.7104623587002774
2029,0.7537341906800707
2030,0.6247846094402499
2031,0.5945530960802379
2032,0.5643215827202258
2033,0.5340900693602137
2034,0.5355255082057696
2035,0.6758712357823758
2036,0.9203185989875313
2037,0.9956369928693535
2038,1.0077171120004031
2039,0.9934786127194565
2040,0.648796995974132
2041,0.6914328335081462
2042,0.347823181391175
2043,0.3995783393794813
2044,0.5167789316312152
2045,0.6464487572041691
2046,0.7829910835325473
2047,0.9267701531576581
2048,1.085414688394342
2049,1.2568785113612164
2050,1.408598782089299
