YEAR,carbon-capture-and-storage-transmission-and-distribution,coal-subcritical,coal-supercritical,coal-supercritical-CCS,coal-ultrasupercritical,gas-CCGT,gas-CCGT-CCS,gas-OCGT,oil-internal-combustion-engine
2023,0.0,1.0077171120004031,0.0,0.0,0.0,0.0,0.0,0.0,0.1488201844261114
2024,0.0,0.8162508607203265,0.0,0.0,0.0,0.0,0.0,0.0,0.011397913306316955
2025,0.0,0.7860193473603143,0.0,0.0,0.0,0.0,0.0,0.0,0.03464142077238441
2026,0.0,0.7557878340003022,0.0,0.0,0.0,0.0,0.0,0.0,0.040484778743946626
2027,0.0,0.7255563206402902,0.0,0.0,0.0,0.0,0.0,0.0,0.00020175855103106517
2028,0.0,0.6852476361602742,0.0,0.0,0.0,0.0,0.0,0.0,0.025214722540003353
2029,0.0,0.7155029241216764,0.0,0.0,0.0,0.0,0.0,0.0,0.03823126655839557
2030,0.0,0.6247846094402498,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2031,0.0,0.5945530960802377,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2032,0.0,0.5643215827202257,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2033,0.0,0.5340900693602136,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2034,0.0,0.5038585560002016,0.0,0.0,0.0,0.0,0.0,0.0,0.03166695220556784
2035,0.0,0.5998445094259407,0.0,0.0,0.0,0.0,0.0,0.0,0.07602672635643565
2036,0.0,0.9203185989875327,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2037,0.0,0.9956369928693555,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2038,0.0,1.0077171120004031,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2039,0.0,0.9934786127194492,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2040,0.0,0.6487969959741229,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2041,0.0,0.6914328335081401,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2042,0.0,0.18661428000000002,0.0,0.0,0.0,0.161208901391175,0.0,0.0,0.0
2043,0.0,0.18661428000000002,0.0,0.0,0.0,0.2129640593794816,0.0,0.0,0.0
2044,0.0,0.2015434224000806,0.0,0.0,0.0,0.3152355092311352,0.0,0.0,0.0
2045,0.0,0.20154342240008058,0.0,0.0,0.0,0.44490533480409106,0.0,0.0,0.0
2046,0.0,0.20154342240008058,0.0,0.0,0.0,0.5814476611324686,0.0,0.0,0.0
2047,0.0,0.2015434224000806,0.0,0.0,0.0,0.7252267307575779,0.0,0.0,0.0
2048,0.0,0.20154342240008058,0.0,0.0,0.0,0.8838712659942634,0.0,0.0,0.0
2049,0.0,0.20154342240008058,0.0,0.0,0.0,1.03504635380835,0.0,0.0,0.020288735152785075
2050,0.0,0.2015434224000806,0.0,0.0,0.0,1.03504635380835,0.0,0.016371749431252268,0.15563725644961834
