YEAR,carbon-capture-and-storage-transmission-and-distribution,coal-subcritical,coal-supercritical,coal-supercritical-CCS,coal-ultrasupercritical,gas-CCGT,gas-CCGT-CCS,gas-OCGT,oil-internal-combustion-engine
2023,0.0,0.5038585560002016,0.0,0.0,0.0,0.0,0.0,0.0,0.7586252856003036
2024,0.0,0.48370421376019335,0.0,0.0,0.0,0.0,0.0,0.0,0.7282802741762914
2025,0.0,0.4635498715201855,0.0,0.0,0.0,0.0,0.0,0.0,0.6979352627522792
2026,0.0,0.48814167555188315,0.0,0.0,0.0,0.0,0.0,0.0,0.6675902513282671
2027,0.0,0.6634769715253781,0.0,0.0,0.0,0.0,0.0,0.0,0.652417745616261
2028,0.0,0.8519371251031721,0.0,0.0,0.0,0.0,0.0,0.0,0.6220727341922488
2029,0.0,1.0077171120004034,0.0,0.0,0.0,0.0,0.0,0.0,0.5917277227682367
2030,0.0,0.37285533144014904,0.0,0.0,0.0,0.0,0.0,0.0,0.5613827113442247
2031,0.0,0.35270098920014104,0.0,0.0,0.0,0.0,0.0,0.0,0.5310376999202124
2032,0.0,0.43562534103352024,0.0,0.0,0.0,0.0,0.0,0.0,0.5006926884962003
2033,0.0,0.6698888968221806,0.0,0.0,0.0,0.0,0.0,0.0,0.47034767707218805
2034,0.0,0.8983230682710133,0.0,0.0,0.0,0.0,0.0,0.0,0.4551751713601821
2035,0.0,1.0077171120004031,0.0,0.0,0.0,0.0,0.0,0.0,0.42483015993617
2036,0.0,1.0077171120004031,0.0,0.0,0.0,0.0,0.0,0.0,0.3944851485121579
2037,0.0,1.0077171120004031,0.0,0.0,0.0,0.0,0.0,0.0,0.36414013708814574
2038,0.0,0.9194358369192887,0.0,0.0,0.0,0.0,0.0,0.0,0.33379512566413355
2039,0.0,0.9419623950486158,0.0,0.0,0.0,0.00013641096298538987,0.0,0.0,0.30345011424012136
2040,0.0,0.9530700158224732,0.0,0.0,0.0,0.049322411380155404,0.0,0.0,0.28827760852811535
2041,0.0,0.9703493388735749,0.0,0.0,0.0,0.10748021807546645,0.0,0.0,0.25793259710410316
2042,0.0,0.20154342240008064,0.0,0.0,0.0,0.42080942384582193,0.0,0.0,0.22758758568009105
2043,0.0,0.19657968292207081,0.0,0.0,0.0,0.48106568170623404,0.0,0.0,0.1972425742560789
2044,0.0,0.20154342240008064,0.0,0.0,0.0,0.5972358713320755,0.0,0.0,0.16689756283206678
2045,0.0,0.20154342240008064,0.0,0.0,0.0,0.7355572538636093,0.0,0.0,0.1365525514080546
2046,0.0,0.20154342240008064,0.0,0.0,0.0,0.8812096696687421,0.0,0.0,0.1062075399840425
2047,0.0,0.2015434224000806,0.0,0.0,0.0,1.0348288148869496,0.0,0.0,0.09103503427203642
2048,0.0,0.20154342240008064,0.0,0.0,0.0,1.2032875946852861,0.0,0.0,0.06069002284802428
2049,0.0,0.20154342240008064,0.0,0.0,0.0,1.380674689810556,0.0,0.0,0.030345011424012143
2050,0.0,0.2015434224000806,0.0,0.0,0.0,1.380674689810555,0.0,0.07795646207793026,0.03341504191643158
